frequency, MAG[S21]*MAG[21], MAG[S31]*MAG[31], MAG[S41]*MAG[41]
63.5,0.00756052857169,0.0000392142721369,0.0000030389205625
64,0.00836562671044,0.0000403082772544,0.0000030801303009
64.5,0.00927286183849,0.0000414090963001,0.0000031197097129
65,0.010297378576,0.00004251300804,0.00000315737361
65.5,0.011456705296,0.0000436157218084,0.0000031928329225
66,0.012771486121,0.0000447120906241,0.0000032257956025
66.5,0.014266152481,0.0000457960785984,0.00000325585936
67,0.0159693769,0.00004686087025,0.00000328261924
67.5,0.017914751716,0.0000478983031396,0.0000033056694225
68,0.020142137929,0.0000488988322729,0.0000033244958224
68.5,0.022698736921,0.0000498516487249,0.0000033385502089
69,0.025640976384,0.0000507441097801,0.0000033472166116
69.5,0.029035819201,0.0000515617344225,0.0000033497784576
70,0.032962944249,0.0000522877948609,0.0000033454970649
70.5,0.037517365636,0.0000529030749025,0.00000333354564
71,0.042813403396,0.0000533859651649,0.0000033129824256
71.5,0.048987411561,0.0000537118957456,0.0000032827641856
72,0.056201710761,0.0000538531419409,0.0000032418362601
72.5,0.064651707289,0.0000537790488964,0.0000031889744929
73,0.074568317184,0.0000534559850496,0.0000031229604961
73.5,0.086226211449,0.0000528481019089,0.0000030424778329
74,0.099950190201,0.00005191778916,0.0000029462692609
74.5,0.116116014564,0.0000506277787024,0.0000028332295684
75,0.135158434321,0.0000489437361604,0.0000027023414544
75.5,0.157565333025,0.0000468382828225,0.0000025530607089
76,0.183868582401,0.0000442967451364,0.0000023855111401
76.5,0.214625578729,0.00004132561225,0.0000022006832409
77,0.250373139129,0.00003796284996,0.0000020009234116
77.5,0.291569760784,0.0000342902765241,0.0000017903510416
78,0.338498221636,0.0000304467789796,0.00000157527601
78.5,0.391152678084,0.0000266388112384,0.00000136445761
79,0.449105043409,0.00002314475881,0.0000011690150641
79.5,0.511388032996,0.0000203055680689,0.0000010020410404
80,0.576436266756,0.0000184988590609,0.000000877221433201
80.5,0.642136179556,0.0000180929428164,0.000000807056079769
81,0.706016701504,0.0000193876418596,0.000000800638406656
81.5,0.765556751521,0.0000225571803136,0.000000861690762529
82,0.818561705536,0.0000276114517156,0.000000987509250225
82.5,0.863488836081,0.0000343907182096,0.0000011692529424
83,0.8996143104,0.0000425968991569,0.0000013935094209
83.5,0.927037757584,0.0000518482083249,0.0000016445754081
84,0.946528572609,0.0000617415634564,0.0000019069676649
